"05-05-2025","Sales Comparison by Master Account","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Customer Name","Account #","NET MTD Sales","NET MTD Labor","NET GP%","NET MTDLY","NET MTDLY Labor","NET GP%","Comparison MTD-to-LYMTD","NET YTD","NET YTD Labor","NET GP%","NET LYTD","NET LYTD Labor","NET GP%","NET Comparison YTD-to-LYTD"
"A.B. Goodrich - Raleigh","A1650","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"A.C. Lee Construction - Raleigh","2452","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"AL Adams Construction Co. - Columbia","A2132","0.00","0.00","0","0.00","0.00","0","0","37447.00","0.00","100","0.00","0.00","0","37447"
"Adams Homes - Charlotte","A1545","0.00","0.00","0","-195.00","0.00","100","195","0.00","0.00","0","-195.00","0.00","179.97","195"
"Adams Homes - North Raleigh Division","A1640","0.00","0.00","0","900.02","0.00","30.2","-900.02","290174.67","0.00","16.94","145586.37","0.00","20.32","144588.3"
"Adams Homes - South Raleigh Division","21","0.00","0.00","0","0.00","0.00","0","0","481946.04","0.00","15.49","479910.13","0.00","18.07","2035.91"
"Adams Homes - Wilmington","A2071","0.00","0.00","0","0.00","0.00","0","0","310309.10","0.00","20.59","0.00","0.00","0","310309.1"
"Adams Homes Winterville Division - Raleigh","A1744","0.00","0.00","0","0.00","0.00","0","0","209325.90","0.00","18.11","0.00","0.00","0","209325.9"
"Adamski Construction Services - Raleigh","A1961","0.00","0.00","0","0.00","0.00","0","0","7288.00","0.00","19.89","0.00","0.00","0","7288"
"Addison Homes - Greenville","A1785","196.14","0.00","21.38","0.00","0.00","0","196.14","16896.14","0.00","22.26","15576.00","0.00","16.11","1320.14"
"Alan Simonini Homes, LLC - Charlotte","A1568","0.00","0.00","0","0.00","0.00","0","0","113120.69","0.00","33.79","68000.00","0.00","-4.85","45120.69"
"Alliance Multifamily Builders - Charlotte","A1965","0.00","0.00","0","0.00","0.00","0","0","833134.05","0.00","12.37","640673.24","0.00","26.74","192460.81"
"Alpha Contracting And Real Estate Group, LLC- Raleigh","A1916","0.00","0.00","0","0.00","0.00","0","0","24960.99","0.00","19.09","-1358.00","0.00","100","26318.99"
